customerid,stockcode,faiss_score,label
12346.0,21523,0.7370722889900208,0
12346.0,48187,0.7261285781860352,0
12346.0,22692,0.7124841213226318,0
12346.0,22366,0.699141800403595,0
12346.0,48184,0.6979194283485413,0
12346.0,48194,0.6916595697402954,0
12346.0,48188,0.6746671199798584,0
12346.0,48173C,0.6746032238006592,0
12346.0,20685,0.6674269437789917,0
12346.0,48185,0.6662975549697876,0
12346.0,21524,0.6627260446548462,0
12346.0,90177A,0.6610137820243835,0
12346.0,48129,0.6277158260345459,0
12346.0,48111,0.6193749904632568,0
12346.0,22690,0.6183634996414185,0
12346.0,48138,0.5996707081794739,0
12346.0,48116,0.5930163860321045,0
12346.0,21955,0.5834839940071106,0
12346.0,22365,0.5562685132026672,0
12346.0,22414,0.5201970338821411,0
12346.0,48197,0.518122673034668,0
12346.0,23284,0.5175722241401672,0
12346.0,23283,0.48566389083862305,0
12346.0,48189,0.47728174924850464,0
12346.0,22689,0.4693525433540344,0
12346.0,22691,0.4493207037448883,0
12346.0,22687,0.42209744453430176,0
12346.0,15056P,0.41487008333206177,0
12346.0,15056BL,0.40245261788368225,0
12346.0,20679,0.3773725926876068,0
12346.0,15056N,0.37680602073669434,0
12346.0,85014A,0.3708491325378418,0
12346.0,22688,0.3698350787162781,0
12346.0,48195,0.3662981390953064,0
12346.0,85014B,0.3391028046607971,0
12346.0,90182C,0.3329702615737915,0
12346.0,90095,0.30585977435112,0
12346.0,22660,0.2996681332588196,0
12346.0,79342B,0.2525233328342438,0
12346.0,85014D,0.24843890964984894,0
12346.0,85014C,0.2415461242198944,0
12346.0,84857A,0.22607289254665375,0
12346.0,48103,0.22130241990089417,0
12346.0,90177E,0.21453382074832916,0
12346.0,37112,0.21338115632534027,0
12346.0,20682,0.21254657208919525,0
12346.0,46775A,0.2065463364124298,0
12346.0,48179,0.20540446043014526,0
12346.0,23422,0.20419687032699585,0
12346.0,23421,0.20386238396167755,0
12346.0,23423,0.2036329209804535,0
12346.0,90026B,0.20179544389247894,0
12346.0,23352,0.20134633779525757,0
12346.0,21489,0.20061761140823364,0
12346.0,23378,0.1992054581642151,0
12346.0,90177C,0.1964718997478485,0
12346.0,20686,0.1963951736688614,0
12346.0,84870B,0.18907895684242249,0
12346.0,22878,0.1880001723766327,0
12346.0,84868B,0.18220070004463196,0
12346.0,18098B,0.18215104937553406,0
12346.0,79323W,0.17939114570617676,0
12346.0,22870,0.1773332953453064,0
12346.0,23338,0.1734534353017807,0
12346.0,23047,0.17293301224708557,0
12346.0,47504J,0.17255935072898865,0
12346.0,85151,0.17170466482639313,0
12346.0,20681,0.17083044350147247,0
12346.0,22313,0.1708211451768875,0
12346.0,17014E,0.17010831832885742,0
12346.0,71496B,0.16649888455867767,0
12346.0,22868,0.16469250619411469,0
12346.0,22874,0.16443468630313873,0
12346.0,23245,0.16368453204631805,0
12346.0,21039,0.16365112364292145,0
12346.0,23223,0.16290487349033356,0
12346.0,20697,0.16236181557178497,0
12346.0,90034,0.16046078503131866,0
12346.0,22871,0.1595468372106552,0
12346.0,84865,0.1594638079404831,0
12346.0,85160B,0.1589066982269287,0
12346.0,85114B,0.1587749868631363,0
12346.0,23243,0.1566632091999054,0
