customerid,rank,stockcode,ranking_score,churn_prob,pred_purchases,p_alive
12346.0,1,15056P,0.008120794,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,2,48173C,0.008068843,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,3,48138,0.0052944715,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,4,23283,0.00480234,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,5,21955,0.0037322983,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,6,22414,0.0035064046,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,7,21523,0.0031718235,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,8,23245,0.0022261846,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,9,85014A,0.0021284474,0.9766832996233544,0.32517797745564103,0.8550337909111675
12346.0,10,23234,0.0015832734,0.9766832996233544,0.32517797745564103,0.8550337909111675
12347.0,1,22728,0.9815196,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,2,22727,0.97566956,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,3,22726,0.9718375,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,4,21731,0.95701534,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,5,22699,0.9558856,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,6,22423,0.9538367,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,7,23175,0.9530597,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,8,22374,0.9523197,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,9,23084,0.9514728,0.15892531268208493,1.2780898608097138,0.9620226429500386
12347.0,10,22371,0.95025826,0.15892531268208493,1.2780898608097138,0.9620226429500386
12348.0,1,22616,0.8873657,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,2,21977,0.8495498,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,3,23077,0.8212149,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,4,22951,0.7983282,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,5,23078,0.77515256,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,6,21213,0.7729948,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,7,22938,0.690714,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,8,22952,0.6865603,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,9,21985,0.6578716,0.7554585892502261,0.6571541952801193,0.8344724858928823
12348.0,10,84991,0.6548993,0.7554585892502261,0.6571541952801193,0.8344724858928823
12349.0,1,48194,0.961481,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,2,22557,0.9497389,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,3,22556,0.94970626,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,4,22064,0.9468666,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,5,22457,0.94141084,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,6,22554,0.9364335,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,7,21523,0.9312926,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,8,22553,0.9311232,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,9,22312,0.93102163,0.9866772109283752,0.19678083950615002,0.7552076069483492
12349.0,10,22692,0.9279646,0.9866772109283752,0.19678083950615002,0.7552076069483492
12350.0,1,21832,0.015563389,0.5704093830433128,0.20064091449804652,1.0
12350.0,2,22557,0.003799766,0.5704093830433128,0.20064091449804652,1.0
12350.0,3,22556,0.0015795158,0.5704093830433128,0.20064091449804652,1.0
12350.0,4,22614,0.0010943662,0.5704093830433128,0.20064091449804652,1.0
12350.0,5,22555,0.0010065933,0.5704093830433128,0.20064091449804652,1.0
12350.0,6,22412,0.00059900555,0.5704093830433128,0.20064091449804652,1.0
12350.0,7,21175,0.00046956743,0.5704093830433128,0.20064091449804652,1.0
12350.0,8,20973,0.00042329682,0.5704093830433128,0.20064091449804652,1.0
12350.0,9,22620,0.00041703304,0.5704093830433128,0.20064091449804652,1.0
12350.0,10,21866,0.0004060796,0.5704093830433128,0.20064091449804652,1.0
12351.0,1,22302,0.016289782,0.6141446569515387,0.16371073489650934,1.0
12351.0,2,22466,0.013122376,0.6141446569515387,0.16371073489650934,1.0
12351.0,3,21833,0.0050492957,0.6141446569515387,0.16371073489650934,1.0
12351.0,4,22051,0.0025034011,0.6141446569515387,0.16371073489650934,1.0
