customerid,rank,stockcode,ranking_score,churn_prob,pred_purchases,p_alive,retention_action
12346.0,1,23284,0.014273036,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,2,48138,0.0018302221,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,3,23013,0.0017387824,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,4,23245,0.00153803,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,5,20682,0.0014675299,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,6,20679,0.001317373,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,7,48173C,0.001300574,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,8,23234,0.00091472,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,9,22689,0.0008064697,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12346.0,10,23243,0.0007079327,0.9788171315158724,0.32517797745564103,0.8550337909111675,Retention email campaign
12347.0,1,22726,0.9833265,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,2,21731,0.98182654,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,3,21064,0.9802869,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,4,23170,0.97743535,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,5,22374,0.977116,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,6,22727,0.97605354,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,7,22725,0.97113466,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,8,22697,0.9663599,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,9,22728,0.9661943,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12347.0,10,23173,0.96123606,0.1545983271039069,1.2780898608097138,0.9620226429500386,Standard recommendation
12348.0,1,23077,0.8236386,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,2,84987,0.76004237,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,3,22952,0.74591815,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,4,23076,0.7432058,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,5,22950,0.69079816,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,6,21213,0.5602282,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,7,22616,0.5325922,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,8,21983,0.4833884,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,9,23078,0.46669224,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12348.0,10,21977,0.41240168,0.6265304434761856,0.6571541952801193,0.8344724858928823,Personalized recommendation
12349.0,1,20685,0.985644,0.9782601569535361,0.19678083950615002,0.7552076069483492,Retention email campaign
12349.0,2,48194,0.984553,0.9782601569535361,0.19678083950615002,0.7552076069483492,Retention email campaign
12349.0,3,21535,0.98328835,0.9782601569535361,0.19678083950615002,0.7552076069483492,Retention email campaign
